scheme_id,scheme_name,level,state,department,category,gender,caste_category,min_age,max_age,max_income,occupation,description,benefits,official_link
SCH1205,Fish Marketing Scheme,State,Jharkhand,Department of Agriculture,"Agriculture,Rural & Environment",Female,All,0,100,99999999,All,"The scheme ""Fish Marketing Scheme"" by the Fisheries Division, Department of Agriculture, Animal Husbandry & Cooperation, Government of Jharkhand, aims to provide financial assistance for fish marketing and transportation. Through this scheme, subsidies are provided to fisheries cooperative societies and their members for purchasing four-wheeler transport vans and setting up aquarium shops. The scheme is implemented by the Directorate of Fisheries, Jharkhand.","A 60% subsidy or up to ₹3,60,000/- for purchasing four-wheeler transport vans for fisheries cooperative societies. Up to ₹1,00,000/- subsidy for setting up aquarium shops with necessary equipment. NOTE: Assistance provided through DBT (Direct Benefit Transfer) into the beneficiary's Escrow Account.",Not Available
SCH1206,Fishermen Accident Relief Scheme,State,Gujarat,All,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance",All,All,0,100,99999999,All,"The ""Fishermen Accident Relief Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial assistance to the families of deceased fishermen in Gujarat in case of death in Pakistan Jail, lost in the sea, or accidental death while fishing at sea. The financial assistance varies based on the cause of death and is meant to help the legal heirs cope with the loss.","Name of Component Standard of Assistance Minimum Time Limit (in Years) for Reclaiming Benefits Death in Pakistan Jail ₹4,00,000/- Only once, after dead or lost declared as per rules. Lost in Sea ₹2,00,000/- Only once, after dead or lost declared as per rules. Accidental death while fishing at sea ₹2,00,000/- Only once, after dead or lost declared as per rules.",Not Available
SCH1207,Fitter Training to Hearing Impaired Persons,State,Tamil Nadu,All,"Social welfare & Empowerment, Skills & Employment",All,All,18,25,99999999,All,"The scheme ""Fitter Training to Hearing Impaired Persons"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. The scheme aims to give fitter training to the hearing-impaired candidates at the ITI, Guindy for two years and a stipend of ₹300/- per month. The applications are accepted offline in the prescribed form available at the District Differently Abled Welfare Office.","Fitter training is given to the hearing-impaired candidates at the ITI, Guindy for 2 years. A stipend of ₹300/- per month is given to the trainees.",Not Available
SCH1208,Floriculture Development Scheme,State,Meghalaya,All,"Agriculture,Rural & Environment",All,All,0,100,99999999,All,"The scheme “Floriculture Development Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to motivate the farmers to take up floriculture (traditional and non-traditional flowers) as a commercial venture through the distribution of planting materials and other inputs.","Pattern of Assistance: By providing good quality flower planting material at 50% subsidy and low cost polyhouse free of cost with a minimum of 100sqm/unit area. Type of Assistance: To motivate farmers by cultivating low volume high-value crops to increase economic income. Under this aspect, poly house and good quality flower planting materials including organic fertilizers, micronutrients, and organic-based and P.P chemicals and drip irrigation are provided.",Not Available
SCH1209,Fodder Minikits under Integrated Fodder Development Scheme (General Category),State,Gujarat,All,"Agriculture,Rural & Environment",All,All,0,100,99999999,All,"The scheme “Fodder Minikits under Integrated Fodder Development Scheme” is implemented by the Directorate of Animal Husbandry, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat. Under this scheme, improved varieties of fodder seeds are provided to beneficiaries for widespread publicity, demonstration, and adaptation by farmers.","Under this scheme, the fodder seed minikit of 3 Kg, 7 Kg, or 10 Kg is given to the eligible beneficiary.",Not Available
SCH1210,Fodder Minikits under Schedule Castes Sub Plan (SC Category),State,Gujarat,All,"Agriculture,Rural & Environment",All,All,0,100,99999999,All,"The scheme “Fodder Minikits under Schedule Castes Sub Plan” is implemented by the Directorate of Animal Husbandry, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat. Under this scheme, improved varieties of fodder seeds are provided to beneficiaries for widespread publicity, demonstration, and adaptation by farmers.","Under this scheme, the fodder seed minikit of 3 Kg, 7 Kg, or 10 Kg is given to the eligible beneficiary.",Not Available
SCH1211,Fodder Minikits under Tribal Area Sub Plan (TASP) Scheme (ST Category),State,Gujarat,All,"Agriculture,Rural & Environment",All,ST,0,100,99999999,All,"The scheme “Fodder Minikits under Tribal Area Sub Plan (TASP) Scheme” is implemented by the Directorate of Animal Husbandry, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat. Under this scheme, improved varieties of fodder seeds are provided to beneficiaries for widespread publicity, demonstration and adaptation by farmers.","Under this scheme, the fodder seed minikit of 3 Kg, 7 Kg or 10 Kg is given to the eligible beneficiary.",Not Available
SCH1212,Food Bill Assistance,State,Gujarat,All,"Education & Learning, Social welfare & Empowerment",Female,All,0,100,450000,All,"The ""Food Bill Assistance"" introduced by the Social Justice and Empowerment Department, Gujarat, aims to support students who are required to live away from their families due to the unavailability of educational facilities in their home taluka. The scheme is being implemented by the Gujarat Unreserved Education and Economical Development Corporation.","Financial Assistance: ₹1,500/- per month for 10 months.",Not Available
SCH1213,Food Bill Assistance to SC Students,State,Gujarat,All,"Education & Learning, Social welfare & Empowerment",All,SC,0,100,6,All,"The “Food Bill Assistance to SC Students” scheme is administered by the Director, Scheduled Caste Welfare, Government of Gujarat. Under the scheme, financial assistance is provided to the Scheduled Caste (SC) students who are admitted in college affiliated hostels for food bill. The students will be eligible for food bill assistance up to 10 months in a year.","The food bill assistance @ ₹1,500/- per month (Up to 10 Months) will be granted to the Scheduled Caste (SC) students admitted in college affiliated hostels.",Not Available
SCH1214,Food Safety & Standards Authority Of India (FSSAI) Internship Scheme,Central,All India,Ministry of Health & Family Welfare,Education & Learning,All,All,0,100,99999999,All,"The Internship Program by the FSSAI provides interns with unique learning opportunities in various areas of food regulation of food safety administration. FSSAI is a statutory body established under the Food Safety & Standards Act, 2006 under the aegis of the Ministry of Health & Family Welfare, Government of India. It is the apex body responsible for ensuring food safety and compliance with food standards across the country. Tenure The internship will be available throughout the year on a...","Stipend A stipend of ₹ 10,000/- (Rupees ten thousand only) for the internship period will be given to the deserving Interns on the recommendation of the Office/Division that they are attached with by the respective FSSAI (HQ)/Regional Offices / Laboratories. NOTE: The criteria for deserving interns will be decided based on their (a) attendance, (b) assessment by their respective reporting officers; and (c) evaluation of the report by the Committee. Working Space FSSAI shall provide working space, internet facility and other necessities. NOTE 1: FSSAI shall not cover local lodging and travel facilities. NOTE 2: FSSAI will not bear the expenses of any Boarding. NOTE 3: Interns would be required to have their own laptops. Certificate All the interns will be awarded a certificate by the Human Resource Division, FSSAI (HQ) on successful completion of the internship i.e. on submission, review of final report/presentation and recommendation by the Project Evaluation Committee.",Not Available
SCH1215,Foreign Education Scheme,State,Gujarat,All,"Education & Learning, Social welfare & Empowerment",All,All,0,100,600000,All,"The ""Foreign Education Scheme"" introduced by the Social Justice and Empowerment Department, Gujarat, is designed to support meritorious students from economically weaker sections who wish to pursue higher education abroad. The financial assistance helps cover tuition fees, living expenses, and other educational costs. The repayment structure is flexible, ensuring students can repay the loan after completing their studies. The scheme is being implemented by the Gujarat Unreserved Education...","Financial Assistance: A loan of the total tuition fee of the entire course or ₹15,00,000/-, whichever is less, will be provided by the Corporation at a simple interest of 4%. Collateral: For loans of total loan amount of ₹7,50,000/- or less for the entire course, a charge of one and a half times the loan amount will have to be registered on the beneficiary's own property or that of a relative. If the total loan amount for the entire course is more than ₹7,50,000/-, the immovable property of oneself or any other relative equal to that total amount will have to be mortgaged in favor of the Corporation. Loan repayment: In case of total loan up to ₹5,00,000/-, it will have to be repaid in equal monthly installments over 5 (five) years, 1 year after completion of studies. In case of loan exceeding ₹5,00,000/-, it will have to be repaid in equal monthly installments over 6 (six) years, starting 1 year after completion of studies. The money from the loan being repaid will continue to be deposited as interest first. The borrower can repay the loan even before the specified time limit.",Not Available
SCH1216,Forest And Climate Change Internship Scheme,Central,All India,Ministry of Environment,Education & Learning,All,All,0,100,99999999,All,"The Ministry of Environment, Forest and Climate Change has an Internship Scheme for students. The Scheme seeks to engage students, with Graduation/Postgraduation Degrees, as well as Research Scholars, enrolled in recognized Universities / Institutions within India, or abroad, as “Interns”. These ""Interns"" shall be inducted all over the country in various Divisions/Units of the Ministry, ils Integrated Regional Offices, Autonomous, Organisations, Subordinate Offices, and ENVIS (Resource...","Stipend The quantum of stipend to be paid to the Interns shall be ₹ 10,000/- per month. NOTE 1: No stipend shall be paid if the student leaves the internship before the completion of one month. NOTE 2: The amount of the stipend shall be paid proportionately depending upon the period of internship for the subsequent period of internship. NOTE 3: Absence of the Interns from attending the assigned task in the Ministry for more than 3 days in a month shall cause a deduction of stipend amount equivalent to the number of days in excess of 3 days. Experience Certificate A Certificate regarding the successful completion of the Internship shall be issued by the Divisional Head of the concerned Division in the format as available in ‘Annexure-Il"". NOTE 1: The Interns not completing the requisite period will not be issued any Certificate. Logistics & Support The Interns will be required to have their own laptops: Ministry & its other formations will provide them with working space, Internet facility and other necessities as deemed fit by the concerned Head of the Division. Seminars/Presentations Seminars/Presentations can be conducted by the concerned Heads of particular Divisions/Units for their interns. NOTE 1: Students/Trainees have to be made their own arrangements for boarding/lodging, transportation and stationery, etc.",Not Available
SCH1217,Formation Scheme of JHASCOFISH,State,Jharkhand,Department of Animal Husbandry and Fisheries,"Agriculture,Rural & Environment",All,All,0,100,99999999,All,"The “Formation Scheme of JHASCOFISH” by the Department of Animal Husbandry and Fisheries, Government of Jharkhand, aims to support fishermen cooperatives and enhance fish production in the state. Under this scheme, financial aid, technical support, and welfare measures are provided to fishermen cooperatives to strengthen their operations and improve their socio-economic status.","Financial Aid: ₹48,00,000/- allocated as grants to assist cooperative societies. Administrative Support: Funds for machinery, equipment, seminars, publicity, and office expenses. Infrastructure Development: ₹5,00,000/- for maintenance and renovation of facilities. Marketing Support: Assists in providing fair prices for fish and improving marketing strategies. Fishermen Welfare: Welfare programs designed to enhance the socio-economic status of fishermen. New Vehicle Purchase: ₹6,00,000/- for purchasing new vehicles for operational use.",Not Available
SCH1218,Foster Care Scheme (Vatsalaya),State,Goa,Department of Women & Child Development,"Social welfare & Empowerment, Public Safety,Law & Justice",Female,All,0,100,99999999,All,"The Foster Care Scheme (Vatsalaya) is being implemented by the Department of Women & Child Development, Government of Goa to provide temporary/substitute care for children in difficult circumstances, whose parents are unable to care for them due to illness, death, and desertion of one parent or any emotional crisis. Awareness Self-Help Groups, MahilaMandals, Child Development Project Officers, Village Child Committees, Anganwadi Workers, NGOs, and Media can be enlisted to propagate the need...","(payable to the foster families on the basis of the assessment of the Child Care Coordinator) Foster Care Allowance ₹ 2,500/- per month. (The children who are Beneficiaries of the Dayanand Social Security Scheme shall not be eligible for Foster Care Allowances) Maintenance Allowance Age Group: 0 to 6 years; Amount: ₹ 1,500/- per month Age Group: 6 to 14 years; Amount: ₹ 2,000/- per month Age Group: 14 to 18 years; Amount: ₹ 2,500/- per month",Not Available
SCH1219,Free Bicycle Distribution Scheme,State,Jharkhand,All,Education & Learning,All,SC,0,100,99999999,All,"The ""Free Bicycle Distribution Scheme"" by the Welfare Department, Government of Jharkhand, aims to provide financial support for purchasing bicycles to Scheduled Caste (SC) students studying in Class 8 th . Through this scheme, ₹3000 is directly transferred to the bank accounts of eligible students via Direct Benefit Transfer (DBT). Objective: Promotes education by ensuring better accessibility to schools for students. Available to both Below Poverty Line (BPL) and Above Poverty Line (APL)...",Monetary assistance of ₹3000 per student for purchasing bicycles. Note : The amount is disbursed directly to the beneficiary’s bank account via DBT. Ensures purchase of new bicycles conforming to ISI/ISO standards.,Not Available
SCH1220,"Free Bicycle Distribution to Students of Vimukt, Ghumantu and Ardhghumantu Communities",State,Rajasthan,All,Education & Learning,All,All,0,100,99999999,All,"The ""Free Bicycle Distribution Scheme"" was launched by the Social Justice and Empowerment Department, Government of Rajasthan, for students belonging to the Denotified Tribes, Nomadic and Semi-Nomadic Tribes communities of Rajasthan. Under this scheme, free bicycles will be distributed to students from these communities who are studying in government and recognized private educational institutions/schools from Class 6 to Class 11, to facilitate their commute between home and school.",Free bicycle distribution to students studying in classes 6 th to 11 th in government and recognized private educational institutions. Equal distribution of benefits among boys and girls (50% boys and 50% girls).,Not Available
SCH1221,Free Books Scheme for Scheduled Caste Students Pursuing Higher Education,State,Haryana,Department of Higher Education,Education & Learning,All,SC,0,100,99999999,All,"The scheme “Free Books Scheme for Scheduled Caste Students Pursuing Higher Education” was launched by the Department of Higher Education, Government of Haryana, on 1st July, 2008. It aims to encourage Scheduled Caste (SC) students to pursue higher education. Under this scheme, SC students studying in government colleges will receive ₹2,000/- per student per annum for purchasing books. The scheme will be implemented in all government colleges across Haryana.","Eligible students will receive ₹2,000/- per year for purchasing books.",Not Available
SCH1222,Free Bus Pass for Media Persons,State,Puducherry,Department of Information & Publicity,Transport & Infrastructure,All,All,0,100,99999999,All,"The ""Free Bus Pass for Media Persons"" scheme, introduced by the Department of Information & Publicity, Union Territory of Puducherry, aims to provide a free bus pass facility to media persons working in Puducherry in Puducherry Road Transport Corporation buses (except town buses) to undertake journeys for their professional requirements.",Free bus pass (valid for one year) for professional travel needs. Time Limit for Issue of a Fresh Bus Pass: Two weeks from the date of application. Time Limit for Renewal of the Expired Bus Pass: Two days form the date of application.,Not Available
SCH1223,"Free Caste Hostel (De-Notified, Nomadic and Semi-Nomadic Communities)",State,Madhya Pradesh,All,"Education & Learning, Housing & Shelter",All,All,0,100,99999999,All,"The ""Free Caste Hostel"" scheme by the Department of De-notified, Nomadic, and Semi-Nomadic Welfare, Government of Madhya Pradesh, provides a scholarship of ₹1,230 per month for boys and ₹1,270 per month for girls for 10 months. The scheme benefits students from De-notified, Nomadic, and Semi-Nomadic tribes studying in local educational institutions.","A scholarship of ₹1,230 per month for boys. A scholarship of ₹1,270 per month for girls. The scholarship is given for 10 months.",Not Available
SCH1224,Free Coaching Scheme for SC and OBC Students,Central,All India,Department of Social Justice and Empowerment,"Education & Learning, Social welfare & Empowerment",Female,SC/OBC,0,100,99999999,All,"""Free Coaching Scheme for SC and OBC Students"" is an Education Scheme by the Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment. The objective of the Scheme is to provide coaching of good quality for economically disadvantaged Scheduled Castes (SCs) and Other Backward Classes (OBCs) candidates to enable them to appear in competitive examinations for obtaining appropriate jobs in the Public/Private Sector and/or for securing admission in reputed technical...","Stipend @ ₹ 4000 per month for the full duration of the course not exceeding 12 months. ₹ 15,000 as an incentive to the successful students for coaching for interviews for all the students clearing the mains stage of Central Civil Services / State Civil Services Exams for Class 1 and Class 2 posts. Mode of Payment All the admissible payments shall be released to the students through DBT in their Aadhar-enabled bank accounts. The fee and stipend shall be released in two instalments of 50% each of the admissible amount. The first instalment shall be released immediately at the commencement of the course. The second instalment will be released after the conclusion of more than 75% of the course duration. NOTE: The students will be required to remit the portion to the institution fee immediately and in any case not exceeding 15 days, to the Central Universities where they are receiving coaching. Courses for Coaching The courses for which the Coaching will be imparted shall be as follows: Group A and B examinations conducted by the Union Public Service Commission(UPSC), the Staff Selection Commission (SSC) and the various Railway Recruitment Boards (RRBs); Group A and B examinations conducted by the State Public Service Commissions; Officers’ Grade examinations conducted by Banks, Insurance Companies and Public Sector Undertakings (PSUs); Premier Entrance Examinations for admission in (i) Engineering (e.g. IIT-JEE), (ii) Medical (eg. NEET), (iii) Professional courses like Management (e.g. CAT) and Law (e.g. CLAT), and (iv) Any other such disciplines as Ministry may decide from time to time. Eligibility tests/examinations like SAT, GRE, GMAT, IELTS and TOEFL. Entrance examination tests for CPL courses/National Defence Academy and Combined Defence Services.",Not Available
SCH1225,Free Coaching for Students with Disabilities,Central,All India,All,Education & Learning,All,All,0,100,600000,All,"The Free Coaching for Students with Disabilities scheme under the Department of Empowerment of Persons with Disabilities (DEPwD) is a centrally sponsored scheme that provides financial assistance to voluntary organizations for providing free coaching to students with disabilities for competitive examinations. The scheme is open to students with disabilities who have at least 40% disability and are preparing for competitive examinations conducted by the Union Public Service Commission (UPSC),...","It provides free coaching to students with disabilities for competitive examinations. It helps students with disabilities to improve their academic performance and to compete effectively in competitive examinations. It increases the chances of students with disabilities getting admission in higher educational institutions and finding jobs. It helps to empower students with disabilities and to improve their quality of life. Financial Assistance: monthly stipend : ₹ 2,500/- ( for Local students) and ₹ 5,000/- ( for out station students).",Not Available
SCH1226,Free Cycles to SC Girl Students Studying in Standard IX (Sarasvati Sadhna Yojana),State,Gujarat,Department of Social Justice & Empowerment,"Social welfare & Empowerment, Women and Child",Female,SC,0,100,600000,All,"The “Free Cycles to SC Girl Students Studying in Standard IX (Sarasvati Sadhna Yojana)” scheme is administered by the Directorate of Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat. Under this scheme, free bicycles are given to scheduled caste girl students who are studying in Standard IX.","Under this scheme, free cycles are given to scheduled caste girl students who are studying in Standard IX.",Not Available
SCH1227,Free Distribution of Blankets and Chappals to Senior Citizen,State,Puducherry,Department of Social Welfare,Social welfare & Empowerment,All,All,0,100,99999999,All,"The scheme “Free Distribution of Blankets and Chappals to Senior Citizen"" was launched by the Department of Social Welfare, Government of Puducherry. The objective of this scheme is to enable the poor senior citizens, aged 60 years and above and residing in Puducherry, to receive blankets and chappals. The applicant should be a recipient of Old Age Pension.",One Blanket and One Pair of Chappals Every Year.,Not Available
SCH1228,Free Distribution of Rice to Differently Abled Persons,State,Puducherry,Department of Social Welfare,"Health & Wellness, Social welfare & Empowerment",All,All,0,100,75000,All,"The scheme “Free Distribution of Rice to Differently Abled Persons” by the Department of Social Welfare, Government of Puducherry was introduced to distribute free rice or equivalent Direct Benefit Transfer (DBT) to the differently abled persons. The beneficiaries are paid 15 Kgs of rice per month or equivalent DBT. The selection is periodical and depends on the availability of funds.",15 Kg of rice per month or equivalent Direct Benefit Transfer (DBT).,Not Available
SCH1229,Free Distribution of Text Books to Students,State,Madhya Pradesh,All,Education & Learning,All,All,0,100,99999999,All,"Launched on 1st January 2008, the scheme ""Free Distribution of Textbooks to Students"" by the School Education Department, Government of Madhya Pradesh, provides free textbooks to students studying in classes 9th to 12th in government schools.",Free textbooks.,Not Available
SCH1230,Free Education For Sports Medal Winners / Participants Of National/ International Events,Central,All India,Ministry of Education,"Education & Learning, Sports & Culture",All,All,0,100,99999999,All,"The scheme ""Free Education for Sports Medal Winners / Participants of National/ International Events"", introduced by the University Grants Commission, Ministry of Education, aims to assist medal-winning sportspersons pursuing higher education and motivate them to achieve excellence in sports and academics. Applicable to national medalists and international participants, it ensures their holistic development.","Medals at Olympics, World Championship (more than 20 countries) Tuition Fee and Other Funds: Bachelor's degree: Actual; PG: Actual; Diploma: Actual; PG Degree: Actual; M. Phil: Rs. 7500/- per month + Actual; Ph.D.: As per with JRF scale (UGC); MBA or other professional courses (*): Rs. 7500/- per month + Actual. Hostel Facilities (Boarding and Lodging): Actual Allowances for special courses abroad: As per Govt of India’s norms Kit: Rs. 15000 per annum Participations at Olympics, World Championship (more than 20 countries); Medal at Common Wealth, Asian, Afro-Asian Games Tuition Fee and Other Funds: Bachelor's degree: Actual; PG: Actual; Diploma: Actual; PG Degree: Actual; M. Phil: Rs. 7500/- per month + Actual; Ph.D.: As per with JRF scale (UGC); MBA or other professional courses (*): Rs. 7500/- per month + Actual. Hostel Facilities (Boarding and Lodging): Actual Allowances for special courses abroad: As per Govt of India’s norms Kit: Rs. 15000 per annum Participation at World Championship (less than 20 countries), CommonWealth, Asian, and Afro-Asian, Games; Medal at Asian Championship (excluding Asian games) Tuition Fee and Other Funds: Bachelor's degree: Actual; PG: Actual; Diploma: Actual; PG Degree: Actual; M. Phil: Rs. 7500/- per month + Actual; Ph.D.: As per with JRF scale (UGC); MBA or other professional courses (*): Rs. 7500/- per month + Actual. Hostel Facilities (Boarding and Lodging): Actual Allowances for special courses abroad: As per Govt of India’s norms Kit: Rs. 10000 per annum Participation at Asian Championship, World university games; Medal at SAF Games Tuition Fee and Other Funds: Bachelor's degree: Actual; PG: Actual; Diploma: Actual; PG Degree: Actual; M. Phil: Rs. 7500/- per month + Actual; Ph.D.: As per with JRF scale (UGC); MBA or other professional courses (*): Rs. 7500/- per month + Actual. Hostel Facilities (Boarding and Lodging): Actual Allowances for special courses abroad: As per Govt of India’s norms Kit: Rs. 7500 per annum Participation at SAF Games; Medal at National level Competitions Tuition Fee and Other Funds: Bachelor's degree: 75% of Actual; PG: 75% of Actual; Diploma: 75% of Actual; PG Degree: 75% of Actual; M. Phil: Rs. 5000/- per month + Actual; Ph.D.: Rs. 7500/- per month + Actual; MBA or other professional courses (*): Rs. 5000/- per month + Actual. Hostel Facilities (Boarding and Lodging): Actual Allowances for special courses abroad: As per Govt of India’s norms Kit: Rs. 6000 per annum (i) The pattern of assistance will be as per the chart mentioned above depending upon the level of performance of the concerned sportsperson. (ii) The financial assistance depending upon the eligibility will be reimbursed by the UGC to the university concerned. The university will be responsible for submitting all relevant documents as per the guidelines and the proformas of the scheme. (iii) For the loss of the classes of the concerned sports persons because of their engagement in sporting activity, the university concerned will make special efforts in terms of completion of syllabus and attendance.",Not Available
SCH1231,Free Education Scheme,State,Tamil Nadu,All,Education & Learning,All,SC,0,100,99999999,All,"The ""Free Education Scheme"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to support Backward Classes (BC), Most Backward Classes (MBC), and De-notified Communities (DNC) students in pursuing higher education without the burden of fees. It covers all special fees, non-refundable compulsory fees, and examination fees for students enrolled in 3-year undergraduate programs (B.A., B.Sc., B.Com.) in Government...",Financial Assistance: Special fees and other non-refundable compulsory fees are paid as prescribed by Government and examination fee in full.,Not Available
SCH1232,"Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)",State,Tamil Nadu,All,Education & Learning,All,All,0,100,100000,All,"The ""Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to assist students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The scheme covers tuition fees, special fees, and non-refundable compulsory fees as prescribed by the government, along with the full...",Financial Assistance: Full payment of tuition fees. Coverage of special and other non-refundable compulsory fees. Full reimbursement of examination fees as per government norms.,Not Available
SCH1233,Free Education Scholarship for Three-Year Diploma (Polytechnic Courses),State,Tamil Nadu,All,Education & Learning,All,All,0,100,100000,All,"The ""Free Education Scholarship for Three-Year Diploma (Polytechnic Courses)"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to support students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC) who wish to pursue higher education in polytechnic institutions.",Financial Assistance: Full payment of tuition fees. Coverage of special and other non-refundable compulsory fees. Full reimbursement of examination fees as per government norms.,Not Available
SCH1234,Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,State,Madhya Pradesh,All,Education & Learning,Female,OBC,0,100,99999999,All,"The scheme ""Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class"" by the Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh, aims to provide quality pre-examination training for various employment-oriented competitive examinations to talented but economically disadvantaged young men and women belonging to the backward and minority classes of the state. Training is offered near their place of residence through...",Free coaching for employment-oriented competitive examinations. Stipend support during the training period. Access to well-equipped coaching facilities. Ideal academic environment for exam preparation.,Not Available
SCH1235,Free Medical Card for Media Persons,State,Puducherry,Department of Information & Publicity,Health & Wellness,All,All,0,100,99999999,All,"The scheme ""Free Medical Card for Media Persons"" by the Department of Information & Publicity, Union Territory of Puducherry, aims to provide free medical facilities to press correspondents and members of their families in Government hospitals /institutions under the control of the Administration. This will include free treatment in the Government hospitals /institutions of Puducherry with entitlement to A-Class Special Wards.","Identification Cards/Certificates will be issued to the eligible media persons for availing the following facilities - Free medical facilities to the press correspondents and members of their families in Government hospitals /institutions under the control of the Administration. Free treatment in the Government hospitals /institutions of Puducherry with entitlement of 'A-Class' Special Wards. In the absence of such wards, wards of the next lower category shall be provided. The free medical facility will also include hospital stoppages, investigation charges, etc. Time of Disbursal: The Medical Card will be issued within a working day from the date of application.",Not Available
SCH1236,Free Motorized Tricycle Scheme for Persons with Disabilities,State,Uttar Pradesh,All,Social welfare & Empowerment,All,All,0,100,150000,All,"The ""Free Motorized Tricycle Scheme for Persons with Disabilities"" aims to empower individuals facing mobility challenges due to disabilities. Launched in 2020 by the Government of Uttar Pradesh, the program provides free motorized tricycles to those struggling to integrate into society due to physical limitations. This initiative seeks to facilitate their economic and social rehabilitation, granting them greater independence and participation in daily life. Eligibility for the program is...","The maximum grant amount under this scheme is the motorized actual price of tricycles or ₹25,000/- whichever minimum per person with disabilities will be permissible. Note: If the cost of a motorized bicycle exceeds ₹25,000/-, the expenditure incurred in addition to the maximum grant amount of ₹25,000/- will be borne by the beneficiary himself.",Not Available
SCH1237,Free Passport Scheme,State,Haryana,Department of Higher Education,"Education & Learning, Travel & Tourism",All,All,0,100,99999999,All,"The ""Free Passport Scheme"" introduced by the Department of Higher Education, Government of Haryana, aims to encourage students to pursue higher education. Under this scheme, students in the final year of undergraduate (UG) and postgraduate (PG) courses in government colleges receive reimbursement for passport application fees. The concerned college will reimburse the passports free to the student who apply through as per scheme guidelines. The application procedure and processing time for...","Reimbursement of passport application fee of ₹1,500/- to eligible students. Mode of Disbursement: The reimbursement is provided through the respective college where the student is enrolled.",Not Available
SCH1238,Free Scooty Distribution for Girls (GEN-CATEGAORY-EWS),State,Rajasthan,All,"Education & Learning, Women and Child",Female,All,0,100,250000,All,"The ""Free Scooty Distribution for Girls"" scheme was launched by the Secondary Education Department, Government of Rajasthan in the year 2017-18, aims to encourage meritorious girl students belonging to the economically weaker section of the general category in the state. Under this scheme, meritorious girl students from government and private schools who have scored 85% or above in the Class 10th and 12th (Arts, Commerce, Science streams) examinations are provided with a free scooty, along...","Under this scheme, Eligible girl students will receive a scooty, a helmet, and 2 liters of petrol.",Not Available
SCH1239,Free Studentship,State,Meghalaya,All,Education & Learning,All,SC/ST/OBC,0,100,99999999,All,"The scheme ""Free Studentship"" by the Directorate of Higher & Technical Education, Meghalaya, is a state-sponsored program aimed at providing financial assistance to students belonging to the SC/ST/OBC categories for their tuition fees and other fee according to prescribed rates.","Class 11th - 12th (Arts & Commerce): ₹1,105/-. Class 11th - 12th (Science): ₹1285/- Degree General (Arts & Commerce): ₹1,375/-. Degree Major (Arts & Commerce): ₹1,635/-. Degree General (Science): ₹1,735/-. Degree Major (Science): ₹2,235/-.",Not Available
SCH1240,Free Supply of Note Books to the Children of Poor Widows,State,Tamil Nadu,All,"Social welfare & Empowerment, Women and Child, Education & Learning",All,All,0,100,24000,All,"The scheme ""Free Supply of Note Books to the Children of Poor Widows"" was launched by the Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu. The scheme aims to supply notebooks to children of poor widows studying up to higher secondary courses. The scheme has been extended to children in govt. children's homes and service homes.",Note Books are supplied free of cost as mentioned below: 1st to 2nd Standard – Books worth ₹50/- (per child per annum). 3rd to 5th Standard - Books worth ₹125/- (per child per annum). 6th to 8th Standard - Books worth 175/- (per child per annum). 9th to 10th Standard - Books worth ₹300/- (per child per annum). 11th to 12th Standard - Books worth ₹600/- (per child per annum).,Not Available
SCH1241,Free Supply of Rice to the Poor People,State,Puducherry,Department of Women & Child Development,Social welfare & Empowerment,Female,All,0,100,99999999,All,"The scheme “Free Supply of Rice to the Poor People” by the Department of Women & Child Development, Government of Pondicherry, was introduced to provide 10 kg of free rice through fair-price shops during natural calamities and on two important festive occasions every year. The beneficiaries are identified based on the data from the Civil Supplies and Consumer Affairs Department in Puducherry, utilizing the cross-referencing functionality in UDH.",10 kg of free rice is supplied through fair-price shops during natural calamities and on two important festive occasions every year.,Not Available
